id,year,make,model,trim1,trim2
11b4736cf88c,2013.0,Nissan,Murano,Murano,SV
11b620f31a99,2013.0,Infiniti,G37 Convertible,G37 Convertible,Base
11b86b6a9d16,2012.0,Hyundai,Sonata,Sonata,Limited 2.0T
11b8a4be73bf,2015.0,Chrysler,200,200,Limited
11c827383ffe,2014.0,Honda,Civic,Civic,LX
11cfdcb11149,2014.0,Kia,Sorento,Sorento,SX
11d3af09d111,2014.0,Chevrolet,Equinox,Equinox,LT
11e04231d7ce,2011.0,Jaguar,XF,XF,Premium
11e6781448d0,2014.0,Ford,Expedition,Expedition,Limited
11f256b60f80,2013.0,Toyota,Prius c,Prius c,One
11f3dc041cfb,2008.0,INFINITI,G35,G35,Base
11fcda0a9e1c,2009.0,Chevrolet,Cobalt,Cobalt,SS
11ff5e9bdb6f,2013.0,Nissan,LEAF,LEAF,S
120c1dc7b116,2014.0,Mercedes-Benz,CLA-Class,CLA-Class,CLA250
1211ffe2c659,2014.0,Chevrolet,Camaro,Camaro,SS
1258cf954183,2014.0,Kia,Forte,Forte,EX
125cadcb9feb,2015.0,Ford,Fusion,Fusion,SE
126d07c272ea,2016.0,BMW,2 Series,2 Series,228i
127ac0749d0a,2013.0,Honda,Civic,Civic,LX
128d03f6587f,2015.0,Buick,Verano,Verano,Leather Group
12aefcd0140f,2014.0,Lexus,IS 350,IS 350,Base w/F Sport Pkg
12b90288e715,2014.0,Honda,Accord,Accord,Sport
12c057c380bc,2012.0,Chrysler,Town and Country,Town and Country,Touring-L
12c08b35d4c5,2013.0,Kia,Optima,Optima,EX
12cee71ab024,2014.0,Mitsubishi,Outlander,Outlander,GT W/ Towing Pkg
12e64065167d,2012.0,Honda,Odyssey,Odyssey,EX-L
12f4da88f9f0,2013.0,Nissan,Altima,Altima,2.5 S
12f650d4fd0e,2016.0,Honda,CR-V,CR-V,EX
1311550a6be4,2015.0,Volkswagen,Jetta,Jetta,S
132210a6d54a,2015.0,Honda,Accord,Accord,Sport
132318bbd480,2013.0,Ford,Focus,Focus,SE
1325610bad44,2014.0,Mitsubishi,Outlander Sport,Outlander Sport,SE
132b4716063f,2015.0,Ford,Focus,Focus,SE
1330008b8273,2014.0,Hyundai,Sonata,Sonata,SE
133d3b403ce4,2014.0,Dodge,Charger,Charger,R/T
133f08da21f6,2015.0,Nissan,Versa Note,Versa Note,S Plus
134b31bb0653,2013.0,Hyundai,Elantra,Elantra,Limited w/Tech
1361bb1dad04,2016.0,Dodge,Challenger,Challenger,SXT
136ea649c75c,2015.0,Chevrolet,Camaro,Camaro,LT
136eb68c0cd8,2014.0,Kia,Soul,Soul,+ w/Primo Pkg
13737f50b251,2013.0,Infiniti,JX35,JX35,Base
1382e6821bd1,2014.0,Toyota,Corolla,Corolla,S Plus
13857e9947b2,2013.0,Infiniti,G37 Sedan,G37 Sedan,x
1385ea36d5ea,2013.0,Cadillac,ATS,ATS,2.5L
138d68853d7d,2015.0,Lexus,NX 300h,NX 300h,Base w/ Premium Pkg
1390696b70b6,2013.0,Ford,Expedition,Expedition,XLT
13987558f6b2,2012.0,Nissan,Murano,,
139991ea282c,2013.0,Hyundai,Veloster,Veloster,RE MIX
13a2e7939463,2013.0,Dodge,Dart,Dart,Limited
13b35010883d,2013.0,Cadillac,SRX,SRX,Performance Collection
13bdbde20924,2015.0,Chrysler,Town and Country,Town and Country,Touring
13c4cb00c1dd,2015.0,Ford,Focus,Focus,SE
13cad6eeabe8,2015.0,Jeep,Compass,Compass,Latitude
13cc0f623e3b,2013.0,Honda,Civic,Civic,LX
13d26db4c06f,2014.0,Toyota,Camry,,
13e793314d22,2014.0,Cadillac,ATS,ATS,2.0T
13f43e305bd3,2015.0,Chevrolet,Malibu,Malibu,LT
13f47815d404,2013.0,Hyundai,Elantra,Elantra,GLS
13f57463a31e,2013.0,Chrysler,200,200,Limited
13f7992cb83b,2014.0,Nissan,Quest,Quest,3.5 SV
1427c06c0200,2013.0,Toyota,Corolla,Corolla,S
1437290e32b3,2014.0,Ford,Fusion,Fusion,SE
143b76de1ce7,2013.0,Buick,Enclave,Enclave,Convenience
143e09bfda0d,2013.0,Hyundai,Sonata,Sonata,GLS
145156d86628,2012.0,Mercedes-Benz,C-Class,C-Class,C250 Luxury
145f11fe870e,2011.0,Nissan,Murano,Murano,SV
146199874eff,2014.0,Lincoln,MKZ,MKZ,Base
1467f72fa1aa,2012.0,Toyota,Camry,Camry,SE
14710333fa70,2014.0,Ford,Fusion,Fusion,SE
14757ee47cd7,2016.0,Jeep,Cherokee,Cherokee,Limited
147eae56c94a,2014.0,Audi,Q7,Q7,3.0T quattro Premium
147f98119554,2013.0,Honda,Civic,Civic,LX
1489074f20e8,2013.0,Ford,Edge,Edge,SEL
1497f90f554d,2013.0,Hyundai,Elantra,Elantra,GLS
14984755c0ff,2014.0,Ford,Focus,Focus,SE
14a1e6f58d8f,2013.0,Cadillac,CTS,CTS,3.0L Luxury
14a7ab669d82,2014.0,Ford,Mustang,,
14ba5fd62329,2013.0,BMW,X1,X1,xDrive28i W/ Premium Pkg
14beb3afecbe,2014.0,Kia,Soul,Soul,+
14bef3ef26bb,2014.0,GMC,Terrain,Terrain,SLE-2
14c1d94e4dc3,2014.0,Toyota,Corolla,Corolla,LE
14c446c8e9a3,2013.0,Honda,Accord,Accord,EX
14dcb81cd0be,2015.0,Chrysler,200,200,S
14e1daa968d6,2014.0,Toyota,Corolla,Corolla,LE Eco
14f76761ee0f,2015.0,Toyota,RAV4,RAV4,XLE
1506569c0be2,2014.0,Chevrolet,Traverse,Traverse,LT
151477c3f7da,2013.0,Honda,Civic,Civic,EX
151c7f2d4183,2012.0,Lexus,HS 250h,HS 250h,Base
1521f95b271a,2014.0,Toyota,Corolla,Corolla,LE
153643f3f91e,2013.0,FIAT,500,500,Pop
154ee2b6d27a,2016.0,Ford,Taurus,Taurus,Limited
15545694af37,2014.0,Honda,Odyssey,Odyssey,EX-L
1554b3b13f1f,2008.0,INFINITI,G35,G35,x
1556fb3462b8,2015.0,Honda,Fit,Fit,EX
155dde40fc52,2014.0,Toyota,Prius c,Prius c,Two
15742d29817b,2015.0,Kia,Sportage,Sportage,LX
1574db609e8a,2015.0,INFINITI,QX70,QX70,Sport
158d0e637b3e,2013.0,Lexus,CT 200h,CT 200h,F Sport pkg
159347bd6cd2,2013.0,Volkswagen,CC,CC,Sport PZEV
1595b5548793,2013.0,BMW,3 Series,3 Series,328i w/ Premium Pkg
15a6d2e07c65,2014.0,Mercedes-Benz,CLA,CLA,CLA 250
15a9160fa5ca,2012.0,Honda,Civic,Civic,LX
15a917ffa8fe,2014.0,Kia,Sorento,Sorento,LX
15bd88f232c7,2015.0,Ford,Fusion,Fusion,SE
15bfa1618ea1,2015.0,Chevrolet,Spark,Spark,1LT CVT
15c0484acc19,2015.0,Nissan,LEAF,LEAF,S
15c95dc323e0,2013.0,Chevrolet,Volt,Volt,Premium
15da39a0fa94,2013.0,Chevrolet,Malibu,Malibu,LS
15f71a66beb4,2015.0,Dodge,Charger,Charger,SE
163ac8a21bda,2014.0,FIAT,500L,500L,Easy
1661392c5d3b,2014.0,GMC,Acadia,Acadia,SLE-2
16626a1a57ea,2016.0,Hyundai,Elantra GT,Elantra GT,Base
1663b37d846d,2016.0,Buick,Enclave,Enclave,Leather
16665fc68056,2012.0,Mazda,Mazda3,Mazda3,i Touring
166b38b9e91a,2013.0,Kia,Optima Hybrid,Optima Hybrid,EX
166d0fffbf1f,2012.0,Honda,Accord,Accord,LX
166e8bec56c7,2015.0,Buick,Verano,Verano,Convenience Group
167b4ed9dc92,2015.0,Ford,Escape,Escape,Titanium
1680cbf5b574,2013.0,Honda,Civic,Civic,LX
16810108025d,2015.0,INFINITI,Q40,Q40,Base
169f5f6d8c9d,2016.0,Jeep,Grand Cherokee,Grand Cherokee,Limited
169f9ccbc605,2015.0,Ram,Pickup 1500,Pickup 1500,Tradesman
16abc22e2d83,2013.0,Toyota,Sienna,Sienna,Limited 7-Passenger
16aebef25652,2014.0,Chevrolet,Sonic,Sonic,LTZ Auto
16e19ec9e2ad,2014.0,Nissan,Versa,Versa,1.6 SL
16e8a5e36d36,2012.0,Honda,Odyssey,Odyssey,EX-L
16f0ec26d608,2012.0,Mitsubishi,i-MiEV,i-MiEV,ES
1704d999e55c,2015.0,Mercedes-Benz,CLA,CLA,CLA250 W/ Premium Pkg
170aba6b9a3e,2013.0,Honda,Fit,Fit,Base
170f22d28d13,2013.0,Lexus,LX 570,LX 570,Base
170f69caab7e,2013.0,Kia,Sorento,Sorento,LX
1710502fca63,2013.0,Kia,Sportage,Sportage,LX
17107138eeea,2014.0,BMW,X5,X5,xDrive35i
1722d4174f96,2014.0,Jeep,Compass,Compass,Sport
1727aa24a99b,2015.0,Audi,Q5,Q5,2.0T quattro Premium
172d69469ff2,2013.0,MINI,Coupe,Coupe,Cooper S w/Sport Pkg
17372ade0b23,2013.0,Nissan,LEAF,LEAF,SL
174727ad0e0e,2014.0,Mercedes-Benz,E-Class,E-Class,E 350 Sport
174de590731e,2013.0,Hyundai,Elantra Coupe,Elantra Coupe,GS
1750e09f4c2c,2015.0,Kia,Soul,Soul,+
175152ef137e,2013.0,GMC,Acadia,Acadia,SLE-2
1775557ef8f3,2012.0,Mercedes-Benz,CLS,CLS,CLS 63 AMG W/ Premium Pkg
177f1b2886d6,2014.0,Chevrolet,Impala,Impala,LT
1783abfffbbd,2012.0,Toyota,Camry,Camry,SE
179926e7dc7b,2012.0,FIAT,500,500,Sport
17a1f1ab0ac3,2014.0,Audi,A5,A5,2.0T quattro Premium
17b32d0b349a,2012.0,Honda,Accord,Accord,SE
17b98f59d64c,2013.0,Kia,Sorento,Sorento,SX
17c60ab394d4,2014.0,Cadillac,SRX,SRX,Performance Collection
17cfd16f2bab,2014.0,Dodge,Challenger,Challenger,SXT
17f186e2df69,2013.0,Ford,Fiesta,Fiesta,SE
17fe7cf11f5d,2015.0,Mazda,Mazda5,Mazda5,Sport
1810b28e2162,2015.0,Chrysler,300,300,Limited
181e00798bee,2013.0,Honda,Fit,Fit,Base
18216136d5eb,2014.0,Mazda,Mazda6,Mazda6,i Touring
1828528ace88,2015.0,Nissan,Altima,Altima,2.5 S
1838ff8a9194,2015.0,Hyundai,Elantra,Elantra,Sport
1847ac3affd2,2014.0,Mitsubishi,Outlander Sport,Outlander Sport,ES
1857a04770b4,2014.0,Cadillac,ATS,ATS,2.5L
18613d0927de,2014.0,Chevrolet,Cruze,Cruze,1LT Auto
186cfa04a2c9,2012.0,Nissan,Maxima,Maxima,3.5 SV
186fb0044708,2014.0,Chevrolet,Silverado 1500,Silverado 1500,LT
18711f3a05a4,2014.0,Toyota,Sienna,Sienna,LE 8-Passenger
187496bf787a,2014.0,Land Rover,LR2,LR2,HSE
187a1c10f9f4,2013.0,Honda,Civic,Civic,LX
188e40b7be86,2014.0,Chevrolet,Spark,Spark,1LT CVT
189a2a32a615,2016.0,Kia,Soul,Soul,+
18a3f3b83f73,2014.0,Ford,Expedition,Expedition,Limited
18b636f05b99,2015.0,Nissan,Versa,Versa,1.6 S
18b852b69918,2015.0,Chevrolet,Suburban,Suburban,LTZ 1500
18bf7cb8ebc2,2014.0,FIAT,500,500,Pop
18c9a9bd6f68,2013.0,Buick,Regal,Regal,Premium 1
18d0599e9e58,2014.0,Honda,Accord,Accord,EX
18de0704489e,2014.0,Toyota,Corolla,Corolla,LE
190c8617d71f,2014.0,Toyota,Prius c,Prius c,Two
19316f155aa5,2013.0,Hyundai,Elantra,Elantra,GLS
1936c8e0c95d,2016.0,Kia,Optima,Optima,LX
19413ca0e43c,2013.0,Hyundai,Santa Fe Sport,Santa Fe Sport,2.4L
1952e5f91de0,2015.0,Ford,Fusion Hybrid,Fusion Hybrid,S
195b6db9d0d4,2013.0,Toyota,Prius c,Prius c,Two
196320690fe9,2015.0,Buick,LaCrosse,LaCrosse,Premium II
196f1caf7a65,2013.0,Toyota,Sienna,Sienna,SE 8-Passenger
19754e2e7ef8,2014.0,Mazda,CX-5,CX-5,Touring
197f57dd73e6,2013.0,Chevrolet,Camaro,Camaro,ZL1
1989b27d8e99,2014.0,Cadillac,CTS,CTS,2.0T Luxury Collection
198ba2c3b1a4,2016.0,Jeep,Cherokee,Cherokee,Sport
19937b1f5a11,2013.0,Ford,Fiesta,Fiesta,SE
199f6b33b24e,2013.0,Volvo,S60,S60,T5
19a09cd1f46c,2016.0,Hyundai,Sonata Plug-in Hybrid,Sonata Plug-in Hybrid,Base
19a17d7fd5f6,2013.0,Lexus,CT 200h,CT 200h,Base
19a51324c2b9,2013.0,Honda,Civic,Civic,LX
19b4715694a7,2015.0,Chevrolet,Equinox,Equinox,LT
19cfded4ecf4,2014.0,Acura,MDX,MDX,SH-AWD w/Tech Pkg
19d181731537,2014.0,Jeep,Cherokee,Cherokee,Limited
19d47041493b,2014.0,Kia,Forte Koup,Forte Koup,EX
19d6ffab8a52,2012.0,Infiniti,QX56,QX56,Base
19e4e5240c25,2014.0,Honda,CR-V,CR-V,EX-L
19ef6aed48cd,2014.0,Chrysler,Town and Country,Town and Country,Touring-L
1a02b5de8e8d,2014.0,Subaru,Outback,Outback,2.5i
1a066c5d0f6d,2013.0,Scion,xD,xD,10 Series
1a17a1bd648b,2011.0,Mazda,CX-7,CX-7,i SV
1a17cdbf3550,2014.0,Honda,Accord,Accord,LX
1a2dc9c64231,2013.0,Chevrolet,Cruze,Cruze,LS Auto
1a33373f465c,2014.0,GMC,Terrain,Terrain,SLE-1
1a34282f5098,2016.0,Hyundai,Veloster Turbo,Veloster Turbo,Base
1a46a70bddf2,2014.0,Ford,Focus,Focus,SE
1a5ca789e043,2015.0,Lexus,ES 350,ES 350,Base
1a69d3d08bf9,2013.0,Honda,Civic,Civic,LX
1a6a1e6db641,2015.0,Nissan,Versa,Versa,1.6 SV
1a6bc73ed99a,2014.0,Toyota,Prius,Prius,Two
1a6e5829484f,2015.0,Nissan,Sentra,Sentra,SV
1a7ec9546089,2013.0,Lexus,ES 350,ES 350,Base
1a8429edd617,2011.0,Mercury,Grand Marquis,Grand Marquis,LS
1a8d22339d20,2015.0,Scion,tC,tC,Base
1aa920b765d6,2014.0,Toyota,Camry,Camry,LE
1ab925fedd6b,2015.0,Toyota,Prius,Prius,Two
1aba91a601c6,2013.0,Honda,Fit,Fit,Sport
1acd3d0c909f,2014.0,Toyota,Prius c,Prius c,Four
1ada7f34ad3b,2015.0,Nissan,LEAF,LEAF,SV
1adaeb44f109,2014.0,Ford,Mustang,Mustang,GT
1ae8a68a40e4,2013.0,Jaguar,XJ,XJ,Base
1af2ba933c12,2015.0,Dodge,Challenger,Challenger,R/T
1b208f62ca5b,2013.0,Chevrolet,Malibu,Malibu,LT
1b215b712cd8,2014.0,Ford,Fusion,Fusion,Titanium
1b218148cb02,2014.0,Volkswagen,Beetle,Beetle,R-Line PZEV
1b257f955c01,2013.0,Buick,Verano,Verano,Convenience Group
1b25ea8ba94d,2016.0,Kia,Sorento,Sorento,LX V6
1b3c4192e9f2,2015.0,Volkswagen,Jetta,Jetta,SE PZEV
1b3fe620f5d2,2015.0,Chrysler,200,200,Limited
1b53eb3519ed,2012.0,Land Rover,Range Rover Evoque Coupe,Range Rover Evoque Coupe,Dynamic
1b63826b8614,2015.0,Volkswagen,Jetta,Jetta,SE PZEV
1b7a81d2dc34,2015.0,Ford,Fiesta,Fiesta,SE
1b8acaf45e23,2013.0,Smart,fortwo,fortwo,pure
1b8d5b1e8f16,2014.0,Toyota,Corolla,Corolla,LE Eco Plus
1b91bcca99a3,2015.0,Nissan,Quest,Quest,3.5 SV
1ba84b81628e,2014.0,Mazda,CX-5,CX-5,Touring
1bbbb18092ca,,,,Corvette,Z16 Grand Sport
1bc32da4ca6d,2013.0,Cadillac,ATS,ATS,2.0T
1bc43b612f57,2014.0,Hyundai,Sonata,Sonata,GLS
1bcb31607a75,2015.0,GMC,Terrain,Terrain,SLE-1
1bdeeeacc45d,2012.0,MINI,Cooper Convertible,Cooper Convertible,Base
1bf30477568e,2014.0,Nissan,Rogue,Rogue,SV
1c02d4ff189f,2013.0,Honda,Odyssey,Odyssey,EX-L
1c1a505c4e49,2014.0,Audi,A5,A5,2.0T quattro Premium Plus
1c1cd0a47ecf,2014.0,Mazda,MAZDA5,MAZDA5,Sport
1c2244e64b1b,2015.0,Honda,Accord Hybrid,Accord Hybrid,Touring
1c2b90ef05b8,2013.0,Nissan,LEAF,LEAF,SV
1c30c60bc562,2015.0,Jeep,Compass,Compass,Sport
1c3aee0487a8,2013.0,Kia,Optima,Optima,LX
1c4314b06089,2014.0,Lexus,RX 350,RX 350,Base
1c45461a4401,2014.0,Chrysler,300,300,Base
1c4d3a558ea8,2014.0,Nissan,Altima,Altima,2.5 SV
1c56e2c7a5a1,2013.0,Hyundai,Sonata,Sonata,Limited
1c5748340af8,2012.0,Land Rover,Range Rover Sport,Range Rover Sport,HSE Limited Edition w/Climate Pkg
1c5a8981cc5d,2013.0,Buick,Verano,Verano,Leather Group
1c6a16ff18e3,2016.0,Chevrolet,Trax,Trax,LT
1c6e8c6b2f47,2013.0,Buick,Verano,Verano,Leather Group
1c71364b589e,2015.0,Ford,Focus,Focus,SE
1c7963267aab,2013.0,MINI,Roadster,Roadster,Cooper Cold Weather Pkg
1c7bc5c71e43,2014.0,Ford,Flex,Flex,SEL
1c7db1cfee4e,2013.0,Acura,TL,TL,Base w/Tech
1c903d2c299d,2014.0,Chevrolet,Volt,Volt,Base
1c98905f7836,2013.0,Dodge,Charger,Charger,R/T
1c9e65365050,2014.0,BMW,X1,X1,xDrive28i
1c9f83965892,2013.0,Ford,Fusion,Fusion,SE
1ca7da87c8e2,2014.0,Dodge,Journey,Journey,American Value Package
1cb02a2bb795,2013.0,Kia,Optima,Optima,LX
1cb5142e3d42,2012.0,Kia,Optima,,
1cb7786e90c7,2014.0,Ford,C-MAX Energi,C-MAX Energi,SEL
1cc385739578,2012.0,Kia,Optima,Optima,EX
1cc4186256dc,2016.0,FIAT,500X,500X,Trekking
1cc75f01849f,2013.0,Toyota,Prius,Prius,Two
1ccbc1206c9f,2016.0,Nissan,Versa,Versa,1.6 SV
1cd24dbe2e56,2013.0,Infiniti,G37 Sedan,G37 Sedan,Journey
1cd4b21b7496,2015.0,Dodge,Journey,Journey,R/T
1cd93e0aa8f5,2015.0,Honda,Accord,Accord,EX-L V6
1ce081fba7fd,2014.0,Kia,Soul,Soul,Base
1ceb99f0ff77,2014.0,Hyundai,Accent,Accent,GLS
1cefd225f0bc,2013.0,Infiniti,M37,M37,x
1cf1a8e8b4bb,2014.0,Kia,Optima,Optima,EX
1cf1e3fae695,2014.0,Dodge,Grand Caravan,Grand Caravan,SXT
1cf431ed17f4,2012.0,Nissan,Maxima,Maxima,3.5 S
1d1967c10b63,2013.0,Kia,Soul,Soul,Base
1d1a846b0186,2014.0,Honda,Civic,Civic,LX
1d1c92eec92b,2015.0,Nissan,Versa,Versa,1.6 SV
1d201a4b518f,2012.0,Nissan,LEAF,LEAF,SL
1d22846216d7,2014.0,Chevrolet,Cruze,Cruze,LS Auto
1d245879bf81,2014.0,Nissan,Altima,Altima,2.5 S
1d2814dbd013,2014.0,Subaru,Outback,Outback,2.5i Premium
1d2b4eafb151,2012.0,Infiniti,G37 Sedan,G37 Sedan,Journey
1d37d74f2fa4,2013.0,Infiniti,G37 Sedan,G37 Sedan,Journey
1d49a33854bd,2012.0,Mazda,Mazda3,Mazda3,i Grand Touring
1d5131e1093a,2016.0,INFINITI,Q50,Q50,2.0T Premium
1d5cbe304ae5,2011.0,INFINITI,QX56,QX56,Base
1d5f8162a4bc,2013.0,BMW,X1,X1,xDrive28i w/ Ultimate Pkg
1d66d1d68e90,2015.0,Toyota,Tundra,Tundra,Limited
1d84408bf74f,2010.0,Lexus,LX 570,LX 570,
1d84d4704ce3,2013.0,BMW,3 Series,3 Series,328i xDrive
1d8fb3dfc33f,2013.0,Nissan,Altima,Altima,2.5 S
1da49354f776,2016.0,Nissan,Rogue,Rogue,S
1da873717bb3,2015.0,Ford,Escape,Escape,Titanium
1daf51a98e3b,2013.0,Honda,Civic,Civic,LX
1db0f9a8ccab,2014.0,Nissan,Quest,Quest,3.5 SV
1db983fabba1,2014.0,Toyota,Corolla,Corolla,L
1dc4dff9ecb9,2015.0,Hyundai,Accent,Accent,GLS
1dcc219eeeea,2015.0,Nissan,Frontier,Frontier,SV W/ Towing Pkg
1dd0a2d115cc,2013.0,Hyundai,Sonata,Sonata,SE 2.0T
1dd600ad3cdd,2012.0,Dodge,Durango,Durango,Citadel
1dd620cdf832,2014.0,Nissan,Maxima,Maxima,3.5 SV
1dd85de2569f,2013.0,Nissan,LEAF,LEAF,SV
1ddef03af53f,2015.0,Subaru,Impreza,Impreza,2.0i
1dee1b5ab8c7,2013.0,Nissan,Altima,Altima,2.5 S
1df84290b8e7,2014.0,Chevrolet,Volt,Volt,Premium
1e0e94d8b1d0,2015.0,Honda,Accord,Accord,EX-L
1e1369502e56,2013.0,BMW,3 Series,3 Series,328i Premium
1e1f08eb359f,2014.0,Dodge,Journey,Journey,SXT
1e29b3a0ef61,2014.0,Ford,F-150,F-150,Lariat
1e33d24022f4,2013.0,Smart,fortwo,fortwo,pure
1e3c069ab32a,2012.0,Honda,Civic,Civic,LX
1e3f0f27a2df,2013.0,Mercedes-Benz,C-Class,C-Class,C 250 Sport w/ Premium Pkg
1e41be56de7c,2014.0,Chevrolet,Cruze,Cruze,1LT Auto
1e47e1231d8a,2014.0,MINI,Countryman,Countryman,Cooper S ALL4
1e495a80af2a,2013.0,INFINITI,G37 Convertible,G37 Convertible,Base
1e68eba302f5,2013.0,Honda,Pilot,Pilot,EX-L
1e6d955618f0,2013.0,Dodge,Challenger,Challenger,R/T
1e6f48393e17,2015.0,Mercedes-Benz,CLA,CLA,CLA 45 AMG
1e74442fff63,2013.0,BMW,3 Series,3 Series,335i xDrive
1e77e5eb4ed3,2014.0,Honda,Civic,Civic,EX
1e79c574562f,2014.0,Honda,Accord,Accord,Sport
1e7a456d265a,2015.0,Ford,F-150,F-150,XLT
1e7de886621d,2012.0,Toyota,Sienna,Sienna,XLE 8-Passenger
1e7f5e23d7c8,2014.0,Mercedes-Benz,E-Class,E-Class,E350 Sport
1e846c6c287e,2014.0,Mercedes-Benz,E-Class,E-Class,E350 Luxury 4MATIC
1e89e1af42e7,2016.0,Lexus,RC 300,RC 300,Base
1eb8b8a1fc21,2014.0,GMC,Acadia,Acadia,Denali
1ec7083006ec,2014.0,Nissan,Versa,Versa,1.6 SV
1ecc09a9a573,2016.0,Toyota,Camry Hybrid,Camry Hybrid,LE
1ee65a0b1542,2015.0,Toyota,Tundra,Tundra,1794
1ef0e20fde21,2013.0,Kia,Optima,Optima,LX
1ef19b898206,2014.0,Volkswagen,Passat,Passat,S PZEV
1f0040e0d87f,2016.0,Ford,Fusion,Fusion,SE
1f01a9493b19,2013.0,Hyundai,Elantra,Elantra,GLS
1f1080a9e6ee,2015.0,Nissan,Versa Note,Versa Note,SV
1f14751246d4,2013.0,Honda,Civic,Civic,EX
1f1654105b7b,2013.0,Honda,CR-V,CR-V,EX
1f1eed501cc9,2016.0,Ford,Edge,Edge,Sport
1f2d3c8f24b3,2013.0,Ford,F-150,F-150,XLT
1f4bdcb25aa1,2013.0,Infiniti,G37 Sedan,G37 Sedan,x
1f6425d90390,2014.0,Lexus,CT 200h,CT 200h,Base
1f73d884a15a,2014.0,Ford,Escape,Escape,Titanium
1f7575341d15,2015.0,Chevrolet,Sonic,Sonic,LT Auto
1f7723a9a313,2015.0,Volkswagen,Passat,Passat,Wolfsburg Edition
1f80f68c170f,2014.0,Chevrolet,Traverse,Traverse,LS
1f88ee3dbe3e,2010.0,BMW,X5 M,X5 M,Base W/ Climate Pkg
1f8b23fa5d2f,2012.0,FIAT,500,500,Lounge
1f971e2de445,2014.0,Chevrolet,Malibu,Malibu,LT
1f98cfd8ef70,2013.0,Hyundai,Elantra,Elantra,GLS
1fa042100f4c,2012.0,Infiniti,G37 Sedan,G37 Sedan,Sport Appearance Edition
1fa3f32f568e,2015.0,Chrysler,300,300,Limited
1fbb2f859da6,2014.0,Chevrolet,Malibu,Malibu,LT
1fce680ad09d,2015.0,Hyundai,Genesis,Genesis,3.8L
1fcfed163791,2016.0,Toyota,Corolla,Corolla,S Plus
1fd504e5f1cc,2015.0,Chevrolet,Cruze,Cruze,1LT Auto
1fda9402220a,2012.0,Toyota,Camry,Camry,LE
1fdd537c7817,2014.0,Infiniti,Q60 Coupe,Q60 Coupe,Journey
1ff13f052aed,2014.0,Chrysler,Town and Country,Town and Country,Touring
1ff68f0d8005,2012.0,MINI,Cooper Hardtop,Cooper Hardtop,S
200cb28e33f3,2012.0,INFINITI,M56,M56,Base
2021e79e6082,2014.0,Ford,Fusion,Fusion,SE
202ff1d1e783,2013.0,Mercedes-Benz,M-Class,M-Class,ML350 4MATIC
20336e196d8e,2013.0,Volkswagen,Jetta,Jetta,SE PZEV
2043a58a49bd,2012.0,Volkswagen,Tiguan,Tiguan,S
2058cc4d810e,2016.0,Hyundai,Elantra,Elantra,SE
206101792c4c,2016.0,Nissan,Maxima,Maxima,3.5 S
2064ee733d93,2013.0,Ford,Mustang,Mustang,GT
2065ec7f39c8,2013.0,Toyota,RAV4,RAV4,XLE
2067819f9862,2013.0,Jeep,Wrangler Unlimited,Wrangler Unlimited,Sport
206b4aeb95a0,2012.0,Mitsubishi,Lancer Sportback,Lancer Sportback,GT
207a903852e9,2013.0,Honda,Accord,Accord,EX
207f39c86fb5,2015.0,Kia,Optima,Optima,EX
208a319dd3e1,2014.0,Nissan,Altima,Altima,2.5 S
208b142ba78f,2013.0,Toyota,Prius c,Prius c,One
20c479035a39,2014.0,Ram,Ram Pickup 1500,Ram Pickup 1500,Tradesman
20d2b5fdb088,2012.0,Toyota,Tundra,Tundra,Limited
20ea09d5d541,2015.0,Buick,Regal,Regal,Premium I
20ea825b8495,2013.0,Nissan,JUKE,JUKE,S
20ece051660b,2013.0,Buick,Encore,Encore,Leather
20f94f84e0f8,2014.0,Kia,Soul,Soul,Base
210274e3e6d3,2015.0,Ford,Fusion Energi,Fusion Energi,SE Luxury
21072f049ff6,2012.0,Acura,TL,TL,
21276caf2880,2015.0,Chevrolet,Spark,Spark,LS CVT
21353aeec8e9,2013.0,Chevrolet,Volt,Volt,Base
213cb4b84f3f,2013.0,Nissan,LEAF,LEAF,SV
2141a8a59ff8,2014.0,Cadillac,SRX,SRX,Performance Collection
2149ef262cbe,2012.0,INFINITI,EX35,EX35,Base w/Premium Pkg
21563b21897f,2013.0,Nissan,Altima,Altima,2.5 S
2157fca5c0c0,2013.0,Ford,F-150,F-150,FX2
2160142a5ab8,2013.0,Ford,C-MAX Hybrid,C-MAX Hybrid,SEL
21684c355b6c,2014.0,Chevrolet,Camaro,Camaro,LS
2175c87a4a15,2013.0,Honda,Civic,Civic,LX
2182bdb9a480,2015.0,Jeep,Patriot,Patriot,Altitude Edition
2188d4078492,2013.0,Infiniti,G37 Sedan,G37 Sedan,x
218e6f21c811,2013.0,Chevrolet,Cruze,Cruze,1LT Auto
2192e672f84f,2013.0,Ford,Fusion,Fusion,Titanium
2196c9f59802,2014.0,Nissan,Rogue,Rogue,SV
21a1090a170a,2016.0,Nissan,Murano,Murano,SV
21a6e5d09320,2014.0,Kia,Soul,Soul,Base
21a723d841d6,2012.0,Nissan,Altima,Altima,2.5 S
21a7e6726ee3,2015.0,Lincoln,Navigator L,Navigator L,Base
21b004c947b8,2014.0,Kia,Rio5,Rio5,LX
21b847c62450,2013.0,Toyota,Prius,Prius,Two
21bacf13c14a,2014.0,Chevrolet,Cruze,,
